PM2.5,PM10,CO,NO2,Temperature,Humidity,AQI
112,282,0.74,86,26.8,26.5,209
189,293,1.58,197,16.5,30.1,279
102,22,4.49,194,20.2,24.3,196
24,47,4.86,188,37.2,62.6,161
116,168,4.31,71,41.3,89.6,172
81,47,0.64,21,35.4,62.2,78
198,84,4.74,131,26.3,58.5,218
30,40,2.17,116,13.0,42.8,78
112,271,0.15,140,12.0,35.0,183
131,254,2.27,64,23.1,82.9,153
220,246,0.33,44,26.2,87.5,169
224,32,2.77,93,31.3,49.7,199
84,68,1.76,194,10.2,33.2,144
212,137,2.42,45,44.6,71.6,206
97,73,3.1,144,22.7,20.6,183
126,157,4.36,119,39.7,71.2,209
109,72,3.34,104,28.7,75.5,133
113,63,2.23,121,14.6,20.0,155
161,72,4.12,186,37.9,88.1,205
140,93,4.54,93,34.8,88.8,161
159,65,0.69,97,28.5,84.9,116
62,32,2.71,143,28.0,49.7,131
11,184,1.49,64,13.1,29.7,97
97,121,0.33,72,33.0,56.6,126
245,299,3.38,82,41.9,43.6,319
167,277,4.33,50,13.3,26.5,229
47,157,0.9,42,19.2,43.9,90
139,182,4.08,193,41.6,63.1,262
201,130,4.28,21,20.0,15.7,215
197,121,4.58,70,32.9,36.7,237
30,36,1.4,40,28.7,11.4,101
170,287,4.53,78,30.9,70.0,239
213,201,1.67,11,24.6,61.3,175
67,43,2.81,20,20.5,15.0,108
31,48,0.35,18,11.7,87.2,0
245,190,0.32,84,36.0,11.8,276
98,247,3.63,29,36.1,57.2,186
58,207,2.28,109,33.5,72.1,152
228,249,1.36,8,32.5,73.0,197
68,138,1.03,161,18.5,12.7,174
179,175,3.38,131,10.8,82.5,167
229,291,0.1,60,38.3,83.5,219
197,194,4.05,10,27.2,54.9,200
217,123,0.49,133,20.7,48.6,196
24,111,1.04,171,13.6,13.6,137
199,205,1.99,133,12.2,55.0,203
199,200,2.48,119,22.2,42.8,233
184,189,1.84,195,38.2,71.8,249
199,206,1.67,61,42.2,42.3,244
60,194,4.82,199,41.4,64.7,234
117,241,3.24,69,42.2,18.1,257
64,252,0.21,69,41.8,20.6,200
73,181,2.21,107,28.5,21.2,191
140,153,4.39,25,17.7,13.6,191
238,243,1.58,162,37.9,53.3,295
60,172,0.56,37,17.5,73.5,63
144,52,3.82,180,19.4,58.8,177
30,74,3.07,26,18.2,56.0,58
82,26,2.89,186,28.0,64.4,143
176,263,0.36,114,21.3,37.2,221
27,145,0.79,8,15.4,39.0,59
141,31,3.15,187,25.9,35.1,202
98,35,1.12,176,40.6,67.0,155
69,227,2.57,144,30.0,22.9,222
23,62,2.77,78,40.7,11.0,159
18,154,1.49,123,16.9,57.7,95
99,247,4.75,184,15.8,85.4,190
62,130,4.23,97,30.1,58.8,152
139,179,3.64,69,26.2,72.6,167
93,283,0.48,69,33.1,63.8,166
101,244,0.62,14,37.8,49.8,161
120,236,2.51,150,36.3,67.5,221
197,64,0.89,51,43.0,75.9,157
208,233,4.89,70,23.9,28.0,270
181,78,0.88,53,17.2,36.9,141
17,151,2.49,26,29.3,27.9,119
184,123,1.88,90,13.9,46.2,165
44,214,3.23,30,20.1,80.8,89
215,176,0.73,141,17.3,37.6,221
90,117,2.21,153,23.9,40.0,171
173,245,1.45,99,13.9,78.8,163
59,224,4.45,195,11.1,51.2,190
113,98,0.3,111,33.0,52.8,146
141,143,4.58,138,31.4,78.9,198
11,237,4.18,18,34.8,49.2,146
143,23,1.56,165,33.1,64.5,161
63,109,3.97,75,14.0,16.9,144
115,123,0.25,156,20.2,24.3,175
13,138,4.84,79,14.5,42.4,114
63,152,2.68,124,39.5,49.6,182
230,115,1.59,116,36.1,87.3,196
200,162,1.88,55,17.1,87.7,135
155,47,0.43,134,21.9,78.1,115
227,297,4.95,147,43.8,35.2,363
53,252,0.29,167,30.8,87.1,146
171,36,3.31,40,38.0,65.1,156
211,78,2.27,122,19.3,41.4,197
199,109,4.75,171,17.4,66.1,216
237,218,1.31,8,37.4,11.3,263
23,45,2.71,196,34.0,21.7,176
104,44,2.46,10,33.8,76.4,85
57,286,3.54,189,29.3,61.6,222
24,200,0.43,162,29.7,39.1,161
209,87,1.05,114,35.7,50.1,208
215,68,1.15,103,19.5,82.4,137
224,194,3.72,126,22.3,60.5,241
199,71,1.03,121,40.5,41.9,218
49,121,2.91,100,20.8,19.6,151
222,235,1.15,71,29.1,33.5,246
217,207,4.32,124,34.6,88.3,244
246,76,4.72,19,45.0,45.0,245
91,66,2.64,21,25.2,47.7,102
120,178,1.83,22,25.0,49.9,140
62,193,1.25,119,39.5,80.7,147
33,261,0.34,151,38.2,58.3,176
163,260,1.42,80,35.6,65.5,211
226,24,3.31,92,26.2,41.2,201
197,103,2.71,156,21.3,12.3,249
133,267,4.73,95,31.3,84.5,210
246,73,2.04,52,40.7,85.9,181
50,180,3.5,162,40.9,85.9,174
166,245,2.5,19,13.8,85.5,131
24,34,2.61,179,25.0,75.2,94
54,243,1.41,127,26.3,64.8,152
74,80,2.33,131,44.2,77.6,147
98,141,2.41,176,33.7,58.0,195
80,296,3.56,102,24.3,20.7,233
18,65,4.71,159,10.9,41.3,119
97,81,1.71,88,29.8,87.7,97
138,105,0.31,196,13.4,38.1,170
245,229,2.53,45,39.2,79.4,233
145,97,2.77,100,36.3,17.5,224
225,221,0.93,72,26.1,36.7,232
72,242,3.83,9,25.0,38.1,162
148,241,4.93,57,41.4,14.1,287
90,22,4.73,126,20.1,19.5,170
145,25,1.07,140,18.7,25.5,158
172,112,4.39,26,42.9,77.0,182
172,27,3.55,110,38.3,15.1,235
42,254,2.32,11,38.7,33.9,168
132,127,2.75,154,16.8,10.8,216
14,180,4.26,50,15.0,65.7,87
243,228,2.45,34,10.9,59.6,190
240,259,1.93,130,18.3,61.6,244
50,69,2.52,105,37.1,40.0,147
37,30,2.94,148,18.4,26.7,126
144,175,1.03,83,35.5,67.6,171
210,89,4.51,137,18.8,74.9,194
81,188,3.4,71,23.8,21.1,185
21,291,3.2,27,44.4,48.9,180
171,87,0.59,193,18.6,29.9,201
42,271,3.06,78,23.2,23.4,187
57,67,0.69,9,20.5,68.7,31
160,203,0.49,155,13.8,53.0,182
71,206,2.68,86,27.1,27.3,185
225,109,2.07,29,23.3,34.8,189
46,158,2.99,12,34.3,87.3,86
108,108,0.54,153,38.6,77.9,152
181,293,2.21,6,29.0,80.4,180
113,38,0.96,26,11.1,46.8,63
223,173,4.94,76,31.7,59.9,246
228,279,2.85,91,11.9,40.1,246
44,127,3.47,76,31.6,16.2,172
202,78,1.69,72,34.0,42.1,196
236,144,0.56,68,16.9,57.5,170
110,292,4.88,98,38.7,33.0,275
184,126,1.5,23,41.9,77.8,160
215,264,2.18,132,38.5,22.1,316
140,266,3.28,91,20.7,39.4,221
10,27,0.22,86,30.5,20.0,90
14,160,4.07,185,42.0,42.4,211
227,27,2.73,91,21.2,13.2,214
151,113,1.46,101,38.7,31.8,210
112,58,0.4,56,10.3,42.1,78
36,100,0.9,179,10.1,48.3,100
146,206,4.49,86,36.6,53.5,233
216,103,3.46,186,36.7,32.0,289
24,107,1.32,176,37.6,51.8,151
99,261,0.42,101,42.6,50.7,206
51,112,3.48,139,14.1,35.3,142
133,105,2.9,119,18.1,76.4,134
214,63,2.08,96,41.6,53.7,214
188,156,1.88,5,16.2,36.6,157
72,93,1.16,67,33.9,85.8,84
105,55,3.38,171,28.6,77.6,150
240,120,4.86,23,12.9,88.6,151
61,175,0.96,35,20.0,65.4,81
